City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
277,Jumla,NP,2021-04-16 19:51:32,29.2747,82.1838,48.65,53,98,4.7
278,Maragogi,BR,2021-04-16 19:51:32,-9.0122,-35.2225,78.22,83,66,7.29
279,Meulaboh,ID,2021-04-16 19:51:32,4.1363,96.1285,76.01,89,100,7.2
280,Sabzevar,IR,2021-04-16 19:49:17,36.2126,57.6819,62.2,48,100,12.53
281,Jacareacanga,BR,2021-04-16 19:51:33,-6.2222,-57.7528,91.4,58,0,4.61
282,Olafsvik,IS,2021-04-16 19:51:33,64.8945,-23.7142,37.58,75,91,33.24
283,Lloydminster,CA,2021-04-16 19:51:33,53.2835,-110.0016,60.8,21,20,9.22
284,Wanning,CN,2021-04-16 19:51:34,18.8003,110.3967,75.72,89,87,1.03
285,Ajaccio,FR,2021-04-16 19:51:34,42.0,8.9167,51.8,76,90,3.44
286,Yumen,CN,2021-04-16 19:51:34,40.2833,97.2,42.42,19,22,7.9
287,Tokur,RU,2021-04-16 19:51:34,53.1333,132.9,18.64,98,98,2.53
288,Kungurtug,RU,2021-04-16 19:51:35,50.5994,97.5228,25.09,87,6,2.1
289,Islampur,IN,2021-04-16 19:51:35,26.2667,88.2,78.17,39,70,7.78
290,Aripuana,BR,2021-04-16 19:51:36,-9.1667,-60.6333,82.74,83,77,2.35
291,Port Hedland,AU,2021-04-16 19:51:36,-20.3167,118.5667,80.6,50,1,9.22
292,Bathsheba,BB,2021-04-16 19:47:11,13.2167,-59.5167,84.2,54,40,16.11
293,Ancud,CL,2021-04-16 19:51:36,-41.8697,-73.8203,64.0,77,75,8.05
