City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
199,Laguna,US,89.6,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
200,Makakilo City,US,84.2,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
201,Salinopolis,BR,77.56,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
202,Buchanan,LR,80.71,few clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
206,San Francisco,US,70.0,few clouds,37.7749,-122.4194,The Clift Royal Sonesta Hotel
209,Lekoni,GA,72.79,overcast clouds,-1.5843,14.2591,Rendez-vous Des ChasseursD
210,Palu,ID,84.25,moderate rain,-0.8917,119.8707,Hotel Santika Palu
213,Tabou,CI,80.38,overcast clouds,4.423,-7.3528,hotêl doufoulougou
216,Carnarvon,AU,77.0,clear sky,-24.8667,113.6333,Hospitality Carnarvon
224,Dingle,PH,81.21,heavy intensity rain,10.9995,122.6711,SEGAYA PROPERTY
225,Myingyan,MM,82.4,haze,21.4667,95.3833,hotel job
228,La Union,PE,76.77,scattered clouds,-5.4,-80.75,Los Portales
229,Dzilam Gonzalez,MX,76.93,scattered clouds,21.2833,-88.9333,posadas
230,East London,ZA,74.48,clear sky,-33.0153,27.9116,Tu Casa
231,Ambilobe,MG,72.25,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
233,Doha,QA,80.6,clear sky,25.2867,51.5333,Movenpick Hotel Doha
234,Vanimo,PG,84.88,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
236,Wad Madani,SD,87.49,clear sky,14.4012,33.5199,فندق يوغسلافيا
237,Port Alfred,ZA,74.53,clear sky,-33.5906,26.891,The Halyards Hotel
238,Qinzhou,CN,75.6,overcast clouds,21.95,108.6167,Jinjiang Inn Style Qingzhou Walmart
241,Lorengau,PG,81.93,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
242,Udon Thani,TH,77.0,broken clouds,17.3333,102.8333,P.T.K. Apartment
245,Riberalta,BO,73.89,broken clouds,-10.9833,-66.1,Hotel Colonial
248,Kutum,SD,70.2,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
253,Kota Kinabalu,MY,84.2,few clouds,5.9749,116.0724,Gaya Centre Hotel
258,Sullana,PE,78.48,light rain,-4.9039,-80.6853,Alpamayo
261,Ixtapa,MX,78.8,clear sky,20.7,-105.2,Hotel Plaza Providencia
262,Mahibadhoo,MV,82.99,broken clouds,3.7833,72.9667,Omadhoo Inn
276,Winneba,GH,77.0,clear sky,5.3511,-0.6231,Windy Lodge & Beach Resort
285,Luganville,VU,84.7,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
288,Wanning,CN,79.66,broken clouds,18.8003,110.3967,Paradise Hotel
289,Sokoni,TZ,75.2,light rain,-6.4333,39.55,Ujamaa Beach Resort
291,Saint-Joseph,RE,73.4,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
294,Takoradi,GH,78.24,overcast clouds,4.8845,-1.7554,Raybow International Hotel
297,Gangapur,IN,79.66,clear sky,26.4833,76.7167,Hotel Haveli
298,Rodrigues Alves,BR,74.25,broken clouds,-7.7379999999999995,-72.6509,Pousada Aconchego
300,Cabedelo,BR,73.4,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
301,Kattivakkam,IN,82.4,few clouds,13.2167,80.3167,Raj's villa
302,San Cristobal,VE,82.4,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
304,Nicoya,CR,78.8,broken clouds,10.1483,-85.45200000000001,Guayacan Real
305,Acapulco,MX,82.4,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
308,Kahului,US,80.6,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
309,Saint George,US,73.99,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
310,Bac Giang,VN,75.2,mist,21.2667,106.2,An Binh Hotel 2
317,Portland,US,82.4,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
318,Souillac,MU,78.8,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
319,Morondava,MG,74.77,overcast clouds,-20.2833,44.2833,La Case Bambou
321,Bonthe,SL,81.12,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
324,Ceres,US,86.0,clear sky,37.5949,-120.9577,Howard Johnson by Wyndham Modesto Ceres
326,Kavieng,PG,83.91,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
332,Bathsheba,BB,78.8,few clouds,13.2167,-59.5167,Atlantis Hotel
334,Constancia,MX,78.01,clear sky,24.2231,-107.1869,Mi casa
337,Salamiyah,SY,74.12,overcast clouds,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
342,Ahuimanu,US,84.2,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
343,San Clemente,US,80.01,clear sky,33.427,-117.61200000000001,Casablanca Inn
